shop=coffee;category:food and beverages
shop=confectionery;category:food and beverages
shop=convenience;category:food and beverages
shop=deli;category:food and beverages
shop=dairy;category:food and beverages
shop=farm;category:food and beverages
shop=frozen_food;category:food and beverages
shop=greengrocer;category:food and beverages
shop=healt_food;category:food and beverages
shop=ice_cream;category:food and beverages
shop=pasta;category:food and beverages
shop=pastry;category:food and beverages
shop=seafood;category:food and beverages
shop=spices;category:food and beverages
shop=tea;category:food and beverages
shop=wine;category:food and beverages
shop=water;category:food and beverages
shop=kiosk;category:general store, department store, mall
shop=mall;category:general store, department store, mall
shop=supermarket;category:general store, department store, mall
shop=wholesale;category:general store, department store, mall
shop=baby_goods;category:clothing, shoes, accessories
shop=bag;category:clothing, shoes, accessories
shop=boutique;category:clothing, shoes, accessories
shop=clothes;category:clothing, shoes, accessories
shop=fabric;category:clothing, shoes, accessories
shop=fashion_accessories;category:clothing, shoes, accessories
shop=jewerly;category:clothing, shoes, accessories
shop=leather;category:clothing, shoes, accessories
shop=sewing;category:clothing, shoes, accessories
shop=shoe;category:clothing, shoes, accessories
shop=tailor;category:clothing, shoes, accessories
shop=watches;category:clothing, shoes, accessories
shop=wool;category:clothing, shoes, accessories
shop=variety_store;category:clothing, shoes, accessories
shop=beauty;category:health and beauty
shop=chemist;category:health and beauty
shop=cosmetics;category:health and beauty
shop=erotic;category:health and beauty
shop=hairdresser;category:health and beauty
shop=hearing_aids;category:health and beauty
shop=herbalist;category:health and beauty
shop=massage;category:health and beauty
shop=medical_supply;category:health and beauty
shop=nutrition_supplements;category:health and beauty
shop=optician;category:health and beauty
shop=perfumery;category:health and beauty
shop=tattoo;category:health and beauty
shop=agrarian;category:do-it-yourself, household, building materials, gardening
shop=appliance;category:do-it-yourself, household, building materials, gardening
shop=electrical;category:do-it-yourself, household, building materials, gardening
shop=energy;category:do-it-yourself, household, building materials, gardening
shop=florist;category:do-it-yourself, household, building materials, gardening
shop=garden_centre;category:do-it-yourself, household, building materials, gardening
shop=garden_furniture;category:do-it-yourself, household, building materials, gardening
shop=gas;category:do-it-yourself, household, building materials, gardening
shop=houseware;category:do-it-yourself, household, building materials, gardening
shop=paint;category:do-it-yourself, household, building materials, gardening
shop=trade;category:do-it-yourself, household, building materials, gardening
shop=interior_decoration;category:furniture and interior
shop=computer;category:electronics
shop=electronics;category:electronics
shop=hifi;category:electronics
shop=mobile_phone;category:electronics
shop=telecommunication;category:electronics
shop=bicycle;category:outdoors and sport, vehicles
shop=boat;category:outdoors and sport, vehicles
shop=car;category:outdoors and sport, vehicles
shop=car_repair;category:outdoors and sport, vehicles
shop=car_parts;category:outdoors and sport, vehicles
shop=caravan;category:outdoors and sport, vehicles
shop=fuel;category:outdoors and sport, vehicles
shop=golf;category:outdoors and sport, vehicles
shop=hunting;category:outdoors and sport, vehicles
shop=motorcycle;category:outdoors and sport, vehicles
shop=outodoor;category:outdoors and sport, vehicles
shop=scuba_diving;category:outdoors and sport, vehicles
shop=ski;category:outdoors and sport, vehicles
shop=snowmobile;category:outdoors and sport, vehicles
shop=sports;category:outdoors and sport, vehicles
shop=art;category:art, music, hobbies
shop=camera;category:art, music, hobbies
shop=collector;category:art, music, hobbies
shop=games;category:art, music, hobbies
shop=music;category:art, music, hobbies
shop=musical_instrument;category:art, music, hobbies
shop=photo;category:art, music, hobbies
shop=trophy;category:art, music, hobbies
shop=video;category:art, music, hobbies
shop=video_games;category:art, music, hobbies
shop=anime;category:stationery, gifts, books, newspapers
shop=books;category:stationery, gifts, books, newspapers
shop=gift;category:stationery, gifts, books, newspapers
shop=lottery;category:stationery, gifts, books, newspapers
shop=newsagent;category:stationery, gifts, books, newspapers
shop=ticket;category:stationery, gifts, books, newspapers
shop=bookmaker;category:generic shop
shop=cannabis;category:generic shop
shop=copyshop;category:generic shop
shop=dry_cleaning;category:generic shop
shop=e-cigarette;category:generic shop
shop=funeral_directors;category:generic shop
shop=insurance;category:generic shop
shop=laundry;category:generic shop
shop=money_kender;category:generic shop
shop=outpost;category:generic shop
shop=party;category:generic shop
shop=pawnbroker;category:generic shop
shop=pet;category:generic shop
shop=religion;category:generic shop
shop=tobacco;category:generic shop
shop=travel_agency;category:generic shop
shop=weapons;category:generic shop
shop=vacant;category:generic shop
sport=aerobics;category:sport
sport=american_football;category:sport
sport=aikido;category:sport
sport=archery;category:sport
sport=athletics;category:sport
sport=australian_football;category:sport
sport=badminton;category:sport
sport=bandy;category:sport
sport=baseball;category:sport
sport=basketball;category:sport
sport=beachvolley;category:sport
sport=biathlon;category:sport
sport=billiards;category:sport
sport=brnx;category:sport
sport=bobsleigh;category:sport
sport=boules;category:sport
sport=bowls;category:sport
sport=boxing;category:sport
sport=bullfighting;category:sport
sport=canadian_football;category:sport
sport=canoe;category:sport
sport=chess;category:sport
sport=cliff_diving;category:sport
sport=climbing;category:sport
sport=climbing_adventure;category:sport
sport=cricket;category:sport
sport=crossfit;category:sport
sport=croquet;category:sport
sport=curling;category:sport
sport=cycle_polo;category:sport
sport=cycling;category:sport
sport=darts;category:sport
sport=dog_agility;category:sport
sport=dog_racing;category:sport
sport=dragon_boat;category:sport
sport=equestrian;category:sport
sport=fencing;category:sport
sport=fild_hockey;category:sport
sport=fitness;category:sport
sport=five-a-side;category:sport
sport=floorball;category:sport
sport=four_square;category:sport
sport=free_flying;category:sport
sport=futsal;category:sport
sport=gaelic_games;category:sport
sport=gaga;category:sport
sport=golf;category:sport
sport=gymnastics;category:sport
sport=handball;category:sport
sport=hapkido;category:sport
sport=horseshoes;category:sport
sport=horse_racing;category:sport
sport=ice_hockey;category:sport
sport=ice_skating;category:sport
sport=ice_stock;category:sport
sport=judo;category:sport
sport=karting;category:sport
sport=kickboxing;category:sport
sport=kitesurfing;category:sport
sport=lacrosse;category:sport
sport=laser_tag;category:sport
sport=material_arts;category:sport
sport=miniature_golf;category:sport
sport=model_aerodrome;category:sport
sport=motocross;category:sport
sport=motor;category:sport
sport=multi;category:sport
sport=netball;category:sport
sport=obstacle_course;category:sport
sport=orienteering;category:sport
sport=paddle_tennis;category:sport
sport=padel;category:sport
sport=paintball;category:sport
sport=parachuting;category:sport
sport=parkour;category:sport
sport=pelota;category:sport
sport=pickleball;category:sport
sport=pilates;category:sport
sport=pole_dance;category:sport
sport=racquet;category:sport
sport=rc_car;category:sport
sport=roller_skating;category:sport
sport=rowing;category:sport
sport=rugby_union;category:sport
sport=running;category:sport
sport=sailing;category:sport
sport=scuba_diving;category:sport
sport=shooting;category:sport
sport=shot-put;category:sport
sport=skateboard;category:sport
sport=ski_jumping;category:sport
sport=skiing;category:sport
sport=snooker;category:sport
sport=soccer;category:sport
sport=speedway;category:sport
sport=squash;category:sport
sport=sumo;category:sport
sport=surfing;category:sport
sport=swimming;category:sport
sport=table_tennis;category:sport
sport=table_soccer;category:sport
sport=taekwondo;category:sport
sport=tennis;category:sport
sport=toboggan;category:sport
sport=trugo;category:sport
sport=ultimate;category:sport
sport=volleyball;category:sport
sport=wakeboarding;category:sport
sport=water_polo;category:sport
sport=water_ski;category:sport
sport=weightfiting;category:sport
sport=windsurfing;category:sport
sport=wrestling;category:sport
sport=yoga;category:sport
sport=zurkhaneh_sport;category:sport
tourism=aquarium;category:attraction
tourism=artwork;category:attraction
tourism=attraction;category:attraction
tourism=camp_pitch;category:attraction
tourism=camp_site;category:attraction
tourism=caravan_site;category:attraction
tourism=chalet;category:accomodation
tourism=gallery;category:attraction
