index,experiment_num,summarization_rate1,summarization_rate2
46,001,0.5145855161300221,0.8178923140388069
34,002,0.7027611721901219,0.9018157422617922
81,003,0.6707020379835391,0.8251861209557491
154,004,0.5183934134253457,0.8387022840466528
109,005,0.518589330660145,0.8442394497673044
93,006,0.5139341548725873,0.8130617198533462
89,007,0.586749214977927,0.8753014532502081
72,008,0.5145855161300221,0.7491836899666922
9,009,0.7027611721901219,0.8813738163780328
66,010,0.6707020379835391,0.809666139730264
141,011,0.5183934134253457,0.769479917706631
108,012,0.518589330660145,0.7758805122148538
152,013,0.5139341548725873,0.7468509360144147
71,014,0.586749214977927,0.8443941327382312
73,015,0.5145855161300221,0.6577344454278273
139,016,0.7027611721901219,0.8174758224770994
128,017,0.6707020379835391,0.7641137476582737
90,018,0.5183934134253457,0.672801651686102
165,019,0.518589330660145,0.6769494956042765
104,020,0.5139341548725873,0.6551701224907559
142,021,0.586749214977927,0.7763731015646135
132,022,0.5145855161300221,0.5509121194602457
117,023,0.7027611721901219,0.7211214301679073
167,024,0.6707020379835391,0.7156337068481673
91,025,0.5183934134253457,0.5536042011998036
129,026,0.518589330660145,0.555343270290638
87,027,0.5139341548725873,0.5481084736774737
57,028,0.586749214977927,0.6648399870435888
156,029,0.45426545470135893,0.7305098034891204
32,030,0.7494466855417213,0.9004111658813734
162,031,0.5910040224636958,0.7580959127708843
47,032,0.46159046183440744,0.7868550314267236
143,033,0.46285144570276093,0.8032813706097162
157,034,0.45273157567735084,0.7204776711932044
130,035,0.5674246007652799,0.8641921696352052
82,036,0.45426545470135893,0.6302910293656907
11,037,0.7494466855417213,0.889469062128575
44,038,0.5910040224636958,0.7418611499227735
127,039,0.46159046183440744,0.6919988544876025
102,040,0.46285144570276093,0.7119104024062107
161,041,0.45273157567735084,0.619775830821574
38,042,0.5674246007652799,0.8293134217835721
134,043,0.45426545470135893,0.5132675768912867
64,044,0.7494466855417213,0.8395507512718592
80,045,0.5910040224636958,0.6695232906677365
43,046,0.46159046183440744,0.5494843933751422
50,047,0.46285144570276093,0.5680016846459538
119,048,0.45273157567735084,0.5064166387404913
28,049,0.5674246007652799,0.7505994401557197
106,050,0.45426545470135893,0.45856842653764185
123,051,0.7494466855417213,0.7564736499815792
36,052,0.5910040224636958,0.6100384782932886
56,053,0.46159046183440744,0.46800100841333653
150,054,0.46285144570276093,0.47332843714164763
21,055,0.45273157567735084,0.45511404641034064
15,056,0.5674246007652799,0.637143321613945
94,057,0.41921155885510414,0.6575157445794989
95,058,0.7554358843347418,0.8898327479275535
7,059,0.4976602772164274,0.6576431341575708
140,060,0.43053085868641855,0.752813951811575
158,061,0.4337046277623713,0.7789927306303238
61,062,0.41598072982109074,0.6338802230000505
96,063,0.5742020664825789,0.8541875708847125
8,064,0.41921155885510414,0.565778677181834
155,065,0.7554358843347418,0.878723383182652
122,066,0.4976602772164274,0.6432803615250352
148,067,0.43053085868641855,0.6461010448418565
97,068,0.4337046277623713,0.6843404830645742
10,069,0.41598072982109074,0.5388004495653932
33,070,0.5742020664825789,0.8201215597896372
159,071,0.41921155885510414,0.4685940038498567
110,072,0.7554358843347418,0.8340679778219287
144,073,0.4976602772164274,0.5612049947030952
151,074,0.43053085868641855,0.5104180853024362
103,075,0.4337046277623713,0.5421116825986371
29,076,0.41598072982109074,0.4505835716116784
54,077,0.5742020664825789,0.7307232439521332
153,078,0.41921155885510414,0.42280087673858957
114,079,0.7554358843347418,0.7589480879944374
3,080,0.4976602772164274,0.5019862679335451
26,081,0.43053085868641855,0.4413604982806127
125,082,0.4337046277623713,0.45013051310649954
112,083,0.41598072982109074,0.4187531444534225
48,084,0.5742020664825789,0.6154090089408374
121,085,0.7977184354833057,0.9410186210423552
84,086,0.7922140731716594,0.9311327872536991
133,087,0.7987166581268403,0.9353374144556634
4,088,0.7904164170836336,0.9410186210423552
65,089,0.7904164170836336,0.9410186210423552
6,090,0.7904164170836336,0.9410186210423552
138,091,0.7904164170836336,0.9356489491004827
19,092,0.7977184354833057,0.9406647993346894
67,093,0.7922140731716594,0.9067912525657504
1,094,0.7987166581268403,0.9227917377019093
60,095,0.7904164170836336,0.9406635980551776
13,096,0.7904164170836336,0.9406565395137622
115,097,0.7904164170836336,0.9409020979726157
164,098,0.7904164170836336,0.922071819115128
49,099,0.7977184354833057,0.940049550867988
2,100,0.7922140731716594,0.8593951547441471
20,101,0.7987166581268403,0.8865108692295672
74,102,0.7904164170836336,0.9354804329272984
69,103,0.7904164170836336,0.9377449614441429
79,104,0.7904164170836336,0.9397308284427878
83,105,0.7904164170836336,0.8721935231611726
163,106,0.7977184354833057,0.9206514573623945
17,107,0.7922140731716594,0.7989287082594132
113,108,0.7987166581268403,0.8421607375371883
55,109,0.7904164170836336,0.8752076476247647
76,110,0.7904164170836336,0.8944523783982068
118,111,0.7904164170836336,0.90213965493027
16,112,0.7904164170836336,0.7994084130659382
45,113,0.707298744206555,0.9354169478376884
42,114,0.7059055437095907,0.9085656057618389
145,115,0.7336404682115389,0.9090735454902997
68,116,0.695080293035011,0.9327499618000473
166,117,0.695080293035011,0.9343274403457009
40,118,0.6953733502313525,0.9331762395651922
27,119,0.6986556864132217,0.9111317372353797
63,120,0.707298744206555,0.9191725620964641
70,121,0.7059055437095907,0.8727120954736843
39,122,0.7336404682115389,0.8951956176842172
85,123,0.695080293035011,0.9139359907305077
107,124,0.695080293035011,0.9158563163573844
124,125,0.6953733502313525,0.9152186278071105
5,126,0.6986556864132217,0.8824941671082295
147,127,0.707298744206555,0.886533153729879
37,128,0.7059055437095907,0.7957212624371448
135,129,0.7336404682115389,0.8489961788425849
41,130,0.695080293035011,0.8704562654937359
52,131,0.695080293035011,0.8792532906154483
100,132,0.6953733502313525,0.8759770464317539
136,133,0.6986556864132217,0.8033743022438629
59,134,0.707298744206555,0.8290562400479939
160,135,0.7059055437095907,0.7311470964031239
86,136,0.7336404682115389,0.7793192133945612
77,137,0.695080293035011,0.7866537630010696
53,138,0.695080293035011,0.8057413090750816
62,139,0.6953733502313525,0.8151942651839967
116,140,0.6986556864132217,0.716553696292351
146,141,0.5817290546078782,0.8761930551448903
105,142,0.6669204841367032,0.8964628512232792
75,143,0.7009088140390868,0.8609138393870082
126,144,0.5822859364764363,0.8786112351923543
88,145,0.5823234233560284,0.8861907667191814
92,146,0.581661430549026,0.8703004166862113
101,147,0.6118530662789818,0.8825649213425512
31,148,0.5817290546078782,0.8188641831916184
0,149,0.6669204841367032,0.865512417977439
111,150,0.7009088140390868,0.8486734788980501
30,151,0.5822859364764363,0.8193278408343131
18,152,0.5823234233560284,0.8259090455762655
24,153,0.581661430549026,0.8148951326083395
51,154,0.6118530662789818,0.8475259436492794
14,155,0.5817290546078782,0.7510451822971235
23,156,0.6669204841367032,0.7916615927988553
35,157,0.7009088140390868,0.8049833569720505
120,158,0.5822859364764363,0.7470043631265133
99,159,0.5823234233560284,0.7507373955788483
149,160,0.581661430549026,0.7496728346076639
22,161,0.6118530662789818,0.7768820060925142
78,162,0.5817290546078782,0.6742786560574741
12,163,0.6669204841367032,0.6934717500332358
98,164,0.7009088140390868,0.7508727422145108
58,165,0.5822859364764363,0.6532812482644209
25,166,0.5823234233560284,0.6600754970517512
131,167,0.581661430549026,0.6663804670770851
137,168,0.6118530662789818,0.6651290217420908
