,experiment_num,MUITAS summ1 (mean),MUITAS summ2 (mean)
46,001,0.9999999999999998,0.8914155993166255
34,002,0.9999999999999998,0.9996081381159835
81,003,0.9999999999999999,0.8759529013388369
154,004,0.9999999999999998,0.8818172116055139
109,005,0.9999999999999998,0.9048014846755601
93,006,0.9999999999999998,0.8732451526498479
89,007,0.9999999999999998,0.9133052158765901
72,008,0.9999999999999998,0.8773451191744024
9,009,0.9999999999999998,0.9991484145754966
66,010,0.9999999999999999,0.873903942665416
141,011,0.9999999999999998,0.870754952922022
108,012,0.9999999999999998,0.8837839154765846
152,013,0.9999999999999998,0.8676532068685379
71,014,0.9999999999999998,0.9019732407774794
73,015,0.9999999999999998,0.87270585428098
139,016,0.9999999999999998,0.9980655790734042
128,017,0.9999999999999999,0.8724985022825715
90,018,0.9999999999999998,0.8667640600544448
165,019,0.9999999999999998,0.8749081015476126
104,020,0.9999999999999998,0.865198067515133
142,021,0.9999999999999998,0.8918628635588819
132,022,0.9999999999999998,0.8713117312246167
117,023,0.9999999999999998,0.9976255993988478
167,024,0.9999999999999999,0.8721135869234914
91,025,0.9999999999999998,0.8662810254917709
129,026,0.9999999999999998,0.8725346689082689
87,027,0.9999999999999998,0.8649527552613337
57,028,0.9999999999999998,0.887496862996445
156,029,0.9999999999999998,0.9140963878521308
32,030,0.9999999999999998,0.9997871469661576
162,031,0.9999999999999999,0.8917642070678377
47,032,0.9999999999999998,0.9138344085919944
143,033,0.9999999999999998,0.9403479849057713
157,034,0.9999999999999998,0.8902796581971198
130,035,0.9999999999999998,0.9656404716234162
82,036,0.9999999999999998,0.893128387195102
11,037,0.9999999999999998,0.9997593821161526
44,038,0.9999999999999999,0.8867459230294418
127,039,0.9999999999999998,0.8879444745066851
102,040,0.9999999999999998,0.910292212407651
161,041,0.9999999999999998,0.8783171745307249
38,042,0.9999999999999998,0.9482946951825508
134,043,0.9999999999999998,0.8865353668820916
64,044,0.9999999999999998,0.9995951530273639
80,045,0.9999999999999999,0.8807062022539625
43,046,0.9999999999999998,0.8785151061701434
50,047,0.9999999999999998,0.8915819679082496
119,048,0.9999999999999998,0.8752346487465771
28,049,0.9999999999999998,0.9239980725760794
106,050,0.9999999999999998,0.8847531397217445
123,051,0.9999999999999998,0.9993924729145809
36,052,0.9999999999999999,0.8800676093801112
56,053,0.9999999999999998,0.8770601543438379
150,054,0.9999999999999998,0.8871777501230454
21,055,0.9999999999999998,0.874646137409388
15,056,0.9999999999999998,0.9117843239306814
94,057,0.9999999999999998,0.9344958347409931
95,058,0.9999999999999998,0.9999999999999998
7,059,0.9999999999999999,0.9145728717341873
140,060,0.9999999999999998,0.9492462732538913
158,061,0.9999999999999998,0.9644148519883629
61,062,0.9999999999999998,0.9145951103863781
96,063,0.9999999999999998,0.9891425703148594
8,064,0.9999999999999998,0.9159378363913421
155,065,0.9999999999999998,0.9999956467228528
122,066,0.9999999999999999,0.910253630832411
148,067,0.9999999999999998,0.9197611072386224
97,068,0.9999999999999998,0.9401811412101041
10,069,0.9999999999999998,0.9001296267831871
33,070,0.9999999999999998,0.9801748302039165
159,071,0.9999999999999998,0.9071072432796811
110,072,0.9999999999999998,0.9999509378118896
144,073,0.9999999999999999,0.9003062881241664
151,074,0.9999999999999998,0.9025108141476362
103,075,0.9999999999999998,0.9169585417784755
29,076,0.9999999999999998,0.8955557579833862
54,077,0.9999999999999998,0.9615334902366153
153,078,0.9999999999999998,0.9051676559237208
114,079,0.9999999999999998,0.9998574332818799
3,080,0.9999999999999999,0.8978516226648258
26,081,0.9999999999999998,0.8987847290963582
125,082,0.9999999999999998,0.9098696251118399
112,083,0.9999999999999998,0.8946904543604831
48,084,0.9999999999999998,0.9470434923452751
121,085,0.9999999999999998,0.857142857142877
84,086,0.9999999999999998,0.9950167885578474
133,087,0.9999999999999998,0.857142857142877
4,088,0.9999999999999998,0.857142857142877
65,089,0.9999999999999998,0.857142857142877
6,090,0.9999999999999998,0.857142857142877
138,091,0.9999999999999998,0.857142857142877
19,092,0.9999999999999998,0.857142857142877
67,093,0.9999999999999998,0.9875723004913959
1,094,0.9999999999999998,0.857142857142877
60,095,0.9999999999999998,0.857142857142877
13,096,0.9999999999999998,0.857142857142877
115,097,0.9999999999999998,0.857142857142877
164,098,0.9999999999999998,0.857142857142877
