index,experiment_num,sem_mean,sem_median,sem_std,summ1_mean,summ1_median,summ1_std,summ2_mean,summ2_median,summ2_std
46,001,21.594054580896685,17.0,14.494015097782512,9.12280701754386,8.0,4.57160659408558,3.185185185185185,3.0,1.8312032994602176
34,002,21.692007797270954,17.0,14.496109011183071,5.425925925925926,5.0,2.4633580696674566,1.6915204678362572,1.0,0.9103480231361327
81,003,19.034872298624755,15.0,14.496335622155375,4.9160117878192535,5.0,2.4669449136007446,2.2200392927308448,2.0,0.978245532971987
154,004,21.836744639376217,17.0,14.449972702195446,9.199317738791423,8.0,4.587386467272432,2.8796296296296298,2.0,1.8436270663781928
109,005,21.836744639376217,17.0,14.449972702195446,9.192495126705653,8.0,4.578102993968076,2.7811890838206628,2.0,1.7359527315624557
93,006,21.59746588693957,17.0,14.494127105058698,9.14083820662768,8.0,4.587111114368757,3.2607212475633527,3.0,1.9281984746536234
89,007,21.75243664717349,17.0,14.487511019229915,7.739278752436647,7.0,3.6819902545093868,2.173001949317739,2.0,1.1877778990167271
72,008,21.594054580896685,17.0,14.494015097782512,9.12280701754386,8.0,4.57160659408558,4.4829434697855755,4.0,2.488628748527453
9,009,21.692007797270954,17.0,14.496109011183071,5.425925925925926,5.0,2.4633580696674566,2.0662768031189085,2.0,1.064242257216724
66,010,19.034872298624755,15.0,14.496335622155375,4.9160117878192535,5.0,2.4669449136007446,2.469056974459725,2.0,1.081688231273757
141,011,21.836744639376217,17.0,14.449972702195446,9.199317738791423,8.0,4.587386467272432,4.189571150097466,4.0,2.5084213911305393
108,012,21.836744639376217,17.0,14.449972702195446,9.192495126705653,8.0,4.578102993968076,4.083820662768031,4.0,2.3865361460092385
152,013,21.59746588693957,17.0,14.494127105058698,9.14083820662768,8.0,4.587111114368757,4.515107212475634,4.0,2.592278569063549
71,014,21.75243664717349,17.0,14.487511019229915,7.739278752436647,7.0,3.6819902545093868,2.75,2.0,1.4588037016278044
73,015,21.594054580896685,17.0,14.494015097782512,9.12280701754386,8.0,4.57160659408558,6.287037037037037,6.0,3.315370229513531
139,016,21.692007797270954,17.0,14.496109011183071,5.425925925925926,5.0,2.4633580696674566,3.250487329434698,3.0,1.584488670052396
128,017,19.034872298624755,15.0,14.496335622155375,4.9160117878192535,5.0,2.4669449136007446,3.2161100196463654,3.0,1.513398244470499
90,018,21.836744639376217,17.0,14.449972702195446,9.199317738791423,8.0,4.587386467272432,6.110623781676413,6.0,3.3015139474160438
165,019,21.836744639376217,17.0,14.449972702195446,9.192495126705653,8.0,4.578102993968076,6.033625730994152,6.0,3.2506744471068356
104,020,21.59746588693957,17.0,14.494127105058698,9.14083820662768,8.0,4.587111114368757,6.333333333333333,6.0,3.3755653949729165
142,021,21.75243664717349,17.0,14.487511019229915,7.739278752436647,7.0,3.6819902545093868,4.010233918128655,4.0,1.9646789751104385
132,022,21.594054580896685,17.0,14.494015097782512,9.12280701754386,8.0,4.57160659408558,8.398148148148149,8.0,4.172050262749868
117,023,21.692007797270954,17.0,14.496109011183071,5.425925925925926,5.0,2.4633580696674566,5.053118908382066,5.0,2.2380524155647885
167,024,19.034872298624755,15.0,14.496335622155375,4.9160117878192535,5.0,2.4669449136007446,4.102652259332023,4.0,2.0345354470751333
91,025,21.836744639376217,17.0,14.449972702195446,9.199317738791423,8.0,4.587386467272432,8.494639376218323,8.0,4.201352260376073
129,026,21.836744639376217,17.0,14.449972702195446,9.192495126705653,8.0,4.578102993968076,8.464912280701755,8.0,4.202485489878921
87,027,21.59746588693957,17.0,14.494127105058698,9.14083820662768,8.0,4.587111114368757,8.461988304093568,8.0,4.187233917856399
57,028,21.75243664717349,17.0,14.487511019229915,7.739278752436647,7.0,3.6819902545093868,6.179337231968811,6.0,2.8242872876008374
156,029,21.269005847953217,17.0,14.528901722490563,10.229044834307992,9.0,5.345879220084064,4.657407407407407,4.0,2.1614680493657015
32,030,21.4093567251462,17.0,14.485052406644783,4.499025341130604,4.0,2.186902866962354,1.6695906432748537,1.0,0.9517830673961037
162,031,16.4715,13.0,13.682499521161086,5.1405,5.0,2.666517374301868,2.53,2.0,1.034715090089455
