,experiment_num,summarization_rate1,summarization_rate2
70,121,0.9771761171159118,0.9862522645811466
39,122,0.979887220551798,0.9903947232343289
85,123,0.9762199778483082,0.9903359496598078
107,124,0.9762199778483082,0.9905119302524306
124,125,0.9762199778483082,0.9909179408609483
5,126,0.9762768211793386,0.9851786500406596
147,127,0.9762199778483082,0.9880137807634599
37,128,0.9771761171159118,0.9820024219395662
135,129,0.979887220551798,0.9865059531936059
41,130,0.9762199778483082,0.9837648529489803
52,131,0.9762199778483082,0.9858079232784355
100,132,0.9762199778483082,0.9861978490540174
136,133,0.9762768211793386,0.9808311522837226
59,134,0.9762199778483082,0.9786335237306636
160,135,0.9771761171159118,0.9773651258568075
86,136,0.979887220551798,0.9812076754133492
77,137,0.9762199778483082,0.9765346851588572
53,138,0.9762199778483082,0.9771197645708565
62,139,0.9762199778483082,0.9777663964550367
116,140,0.9762768211793386,0.9772183993737942
146,141,0.9639076120857902,0.9875651899840894
105,142,0.9753373609622649,0.9864252858310225
75,143,0.9799512333585726,0.9884304453974291
126,144,0.9635863279564763,0.9876440144919514
88,145,0.9636301741769584,0.9877001631664276
92,146,0.9636579857395461,0.9873282264501586
101,147,0.9677537088142797,0.9866059335120887
31,148,0.9639076120857902,0.9819702811618818
0,149,0.9753373609622649,0.983196771109927
111,150,0.9799512333585726,0.9872548923978864
30,151,0.9635863279564763,0.9796411665226485
18,152,0.9636301741769584,0.981308567846772
24,153,0.9636579857395461,0.9802490048653403
51,154,0.9677537088142797,0.9817646987745793
14,155,0.9639076120857902,0.9716019200190762
23,156,0.9753373609622649,0.9800123498776149
35,157,0.9799512333585726,0.9844576992120762
120,158,0.9635863279564763,0.9697977563532293
99,159,0.9636301741769584,0.9710246268467084
149,160,0.9636579857395461,0.9704565402681997
22,161,0.9677537088142797,0.9760181029629359
78,162,0.9639076120857902,0.9645533024798323
12,163,0.9753373609622649,0.9753375838603139
98,164,0.9799512333585726,0.9803871936976268
58,165,0.9635863279564763,0.9637677220535928
25,166,0.9636301741769584,0.9640510897832052
131,167,0.9636579857395461,0.964085621567863
137,168,0.9677537088142797,0.9685181291113625
