,experiment_num,summarization_rate1,summarization_rate2
46,001,0.953347251077526,0.9839283108859652
34,002,0.9726391980308005,0.9851310475073115
81,003,0.9780923534807984,0.986801957535187
154,004,0.9523209290124431,0.9820435425454068
109,005,0.9527694444193057,0.9834738060587352
93,006,0.952760843404743,0.9830695803265387
89,007,0.9621186269504941,0.9824012262688447
72,008,0.953347251077526,0.9739735799628879
9,009,0.9726391980308005,0.9827637136335639
66,010,0.9780923534807984,0.9857733948098781
141,011,0.9523209290124431,0.9728297705244867
108,012,0.9527694444193057,0.9744682277056498
152,013,0.952760843404743,0.9727520146529727
71,014,0.9621186269504941,0.9795265588647495
73,015,0.953347251077526,0.9609883348819296
139,016,0.9726391980308005,0.9800756342672173
128,017,0.9780923534807984,0.9832313988270652
90,018,0.9523209290124431,0.9587428638783021
165,019,0.9527694444193057,0.9599730482405865
104,020,0.952760843404743,0.9594637343825415
142,021,0.9621186269504941,0.9733194347200577
132,022,0.953347251077526,0.954548643954651
117,023,0.9726391980308005,0.9726391980308005
167,024,0.9780923534807984,0.9782812244440852
91,025,0.9523209290124431,0.9531709986919668
129,026,0.9527694444193057,0.9537644088781848
87,027,0.952760843404743,0.9533141729551855
57,028,0.9621186269504941,0.9644679424405991
156,029,0.9423383326488894,0.9703173115167423
32,030,0.9763751084551592,0.9851207490885775
162,031,0.9817298812960684,0.9889905314056927
47,032,0.936554058898328,0.9708322482635334
143,033,0.9384010982521941,0.9712069456917941
157,034,0.9395423511785972,0.9703998496031363
130,035,0.9605531582212985,0.9790489348668495
82,036,0.9423383326488894,0.9631603904139419
11,037,0.9763751084551592,0.9849286805916071
44,038,0.9817298812960684,0.9884637172053857
127,039,0.936554058898328,0.9604972308497338
102,040,0.9384010982521941,0.9610606212151411
161,041,0.9395423511785972,0.9627357068695388
38,042,0.9605531582212985,0.9770158326082661
134,043,0.9423383326488894,0.9523061125224868
64,044,0.9763751084551592,0.9789019894120946
80,045,0.9817298812960684,0.9843033612599906
43,046,0.936554058898328,0.9475270751959782
50,047,0.9384010982521941,0.9488219101303459
119,048,0.9395423511785972,0.9504388682124277
28,049,0.9605531582212985,0.9692630991924723
106,050,0.9423383326488894,0.9442834164742644
123,051,0.9763751084551592,0.9763751084551592
36,052,0.9817298812960684,0.9817498844005713
56,053,0.936554058898328,0.9383992681385013
150,054,0.9384010982521941,0.9402317359661526
21,055,0.9395423511785972,0.9414851546878228
15,056,0.9605531582212985,0.9606129206188178
94,057,0.9514626058419131,0.9697045253719954
95,058,0.9827013085347575,0.9867106051405996
7,059,0.9857817194076065,0.9900960860713474
140,060,0.9405635406869309,0.9651301352087363
158,061,0.9436020366780149,0.9669118507628963
61,062,0.947599884861794,0.968768049791567
