,experiment_num,summarization_rate
40,001,0.5145855161300221
71,002,0.7027611721901219
157,003,0.6707020379835391
12,004,0.5183934134253457
72,005,0.518589330660145
105,006,0.5139341548725873
6,007,0.586749214977927
25,008,0.5145855161300221
145,009,0.7027611721901219
138,010,0.6707020379835391
57,011,0.5183934134253457
5,012,0.518589330660145
48,013,0.5139341548725873
56,014,0.586749214977927
19,015,0.5145855161300221
8,016,0.7027611721901219
11,017,0.6707020379835391
63,018,0.5183934134253457
10,019,0.518589330660145
166,020,0.5139341548725873
115,021,0.586749214977927
3,022,0.5145855161300221
141,023,0.7027611721901219
33,024,0.6707020379835391
31,025,0.5183934134253457
74,026,0.518589330660145
123,027,0.5139341548725873
95,028,0.586749214977927
66,029,0.45426545470135893
116,030,0.7494466855417213
119,031,0.5910040224636958
39,032,0.46159046183440744
64,033,0.46285144570276093
7,034,0.45273157567735084
107,035,0.5674246007652799
45,036,0.45426545470135893
1,037,0.7494466855417213
98,038,0.5910040224636958
103,039,0.46159046183440744
97,040,0.46285144570276093
131,041,0.45273157567735084
153,042,0.5674246007652799
83,043,0.45426545470135893
165,044,0.7494466855417213
143,045,0.5910040224636958
77,046,0.46159046183440744
160,047,0.46285144570276093
100,048,0.45273157567735084
88,049,0.5674246007652799
44,050,0.45426545470135893
51,051,0.7494466855417213
13,052,0.5910040224636958
91,053,0.46159046183440744
67,054,0.46285144570276093
147,055,0.45273157567735084
55,056,0.5674246007652799
125,057,0.41921155885510414
61,058,0.7554358843347418
151,059,0.4976602772164274
163,060,0.43053085868641855
96,061,0.4337046277623713
120,062,0.41598072982109074
99,063,0.5742020664825789
2,064,0.41921155885510414
104,065,0.7554358843347418
59,066,0.4976602772164274
27,067,0.43053085868641855
113,068,0.4337046277623713
36,069,0.41598072982109074
139,070,0.5742020664825789
79,071,0.41921155885510414
37,072,0.7554358843347418
155,073,0.4976602772164274
73,074,0.43053085868641855
78,075,0.4337046277623713
85,076,0.41598072982109074
118,077,0.5742020664825789
89,078,0.41921155885510414
130,079,0.7554358843347418
84,080,0.4976602772164274
161,081,0.43053085868641855
38,082,0.4337046277623713
60,083,0.41598072982109074
92,084,0.5742020664825789
106,085,0.7977184354833057
150,086,0.7922140731716594
102,087,0.7987166581268403
18,088,0.7904164170836336
30,089,0.7904164170836336
29,090,0.7904164170836336
154,091,0.7904164170836336
149,092,0.7977184354833057
159,093,0.7922140731716594
134,094,0.7987166581268403
108,095,0.7904164170836336
26,096,0.7904164170836336
20,097,0.7904164170836336
90,098,0.7904164170836336
15,099,0.7977184354833057
158,100,0.7922140731716594
49,101,0.7987166581268403
122,102,0.7904164170836336
101,103,0.7904164170836336
129,104,0.7904164170836336
93,105,0.7904164170836336
9,106,0.7977184354833057
109,107,0.7922140731716594
135,108,0.7987166581268403
62,109,0.7904164170836336
81,110,0.7904164170836336
43,111,0.7904164170836336
136,112,0.7904164170836336
46,113,0.707298744206555
164,114,0.7059055437095907
121,115,0.7336404682115389
17,116,0.695080293035011
70,117,0.695080293035011
24,118,0.6953733502313525
21,119,0.6986556864132217
0,120,0.707298744206555
126,121,0.7059055437095907
58,122,0.7336404682115389
94,123,0.695080293035011
148,124,0.695080293035011
114,125,0.6953733502313525
50,126,0.6986556864132217
162,127,0.707298744206555
167,128,0.7059055437095907
32,129,0.7336404682115389
52,130,0.695080293035011
76,131,0.695080293035011
87,132,0.6953733502313525
111,133,0.6986556864132217
75,134,0.707298744206555
68,135,0.7059055437095907
4,136,0.7336404682115389
47,137,0.695080293035011
140,138,0.695080293035011
144,139,0.6953733502313525
146,140,0.6986556864132217
69,141,0.5817290546078782
133,142,0.6669204841367032
110,143,0.7009088140390868
16,144,0.5822859364764363
82,145,0.5823234233560284
42,146,0.581661430549026
128,147,0.6118530662789818
137,148,0.5817290546078782
112,149,0.6669204841367032
41,150,0.7009088140390868
124,151,0.5822859364764363
54,152,0.5823234233560284
132,153,0.581661430549026
14,154,0.6118530662789818
22,155,0.5817290546078782
35,156,0.6669204841367032
80,157,0.7009088140390868
152,158,0.5822859364764363
117,159,0.5823234233560284
127,160,0.581661430549026
142,161,0.6118530662789818
28,162,0.5817290546078782
86,163,0.6669204841367032
65,164,0.7009088140390868
156,165,0.5822859364764363
53,166,0.5823234233560284
23,167,0.581661430549026
34,168,0.6118530662789818
